,date,days,fishname,fishnum,fishnum-avg,fishsize,people,temp
0,2019-06-16,,アイナメ,1,0.001152073732718894,18  cm,868,21
1,2019-06-16,,アジ,29,0.03341013824884793,20～22 cm,868,21
2,2019-06-16,,アナゴ,3,0.0034562211981566822,30～40 cm,868,21
3,2019-06-16,,イイダコ,1,0.001152073732718894,None,868,21
4,2019-06-16,,イシモチ,1,0.001152073732718894,24  cm,868,21
5,2019-06-16,,イワシ,20,0.02304147465437788,8～11 cm,868,21
6,2019-06-16,,ウミタナゴ,32,0.03686635944700461,15～22 cm,868,21
7,2019-06-16,,カサゴ,88,0.10138248847926268,15～24 cm,868,21
8,2019-06-16,,カレイ,3,0.0034562211981566822,15～20 cm,868,21
9,2019-06-16,,カワハギ,2,0.002304147465437788,20  cm,868,21
10,2019-06-16,,クロダイ,1,0.001152073732718894,30  cm,868,21
11,2019-06-16,,コショウダイ,1,0.001152073732718894,25  cm,868,21
12,2019-06-16,,コノシロ,95,0.10944700460829493,25～30 cm,868,21
13,2019-06-16,,サバ,2,0.002304147465437788,26～42 cm,868,21
14,2019-06-16,,シロギス,47,0.05414746543778802,14～20 cm,868,21
15,2019-06-16,,セイゴ,11,0.012672811059907835,20～30 cm,868,21
16,2019-06-16,,タコ,196,0.22580645161290322,None,868,21
17,2019-06-16,,ハゼ,10,0.01152073732718894,8～10 cm,868,21
18,2019-06-16,,ヒイラギ,1,0.001152073732718894,7  cm,868,21
19,2019-06-16,,フグ,18,0.020737327188940093,13～20 cm,868,21
20,2019-06-16,,ベラ,9,0.010368663594470046,10～17 cm,868,21
21,2019-06-16,,メゴチ,5,0.00576036866359447,8～15 cm,868,21
22,2019-06-16,,メジナ,3,0.0034562211981566822,15～23 cm,868,21
23,2019-06-16,,メバル,3,0.0034562211981566822,15～20 cm,868,21
24,2019-06-15,,アジ,59,0.5130434782608696,20～42 cm,115,21
25,2019-06-15,,アナゴ,2,0.017391304347826087,35～50 cm,115,21
26,2019-06-15,,イシモチ,1,0.008695652173913044,25  cm,115,21
27,2019-06-15,,ウミタナゴ,1,0.008695652173913044,15  cm,115,21
28,2019-06-15,,カサゴ,32,0.2782608695652174,15～26 cm,115,21
29,2019-06-15,,クロダイ,1,0.008695652173913044,42  cm,115,21
30,2019-06-15,,コショウダイ,1,0.008695652173913044,25  cm,115,21
31,2019-06-15,,コノシロ,8,0.06956521739130435,28～30 cm,115,21
32,2019-06-15,,シロギス,12,0.10434782608695652,10～15 cm,115,21
33,2019-06-15,,セイゴ,4,0.034782608695652174,27～36 cm,115,21
34,2019-06-15,,タコ,135,1.173913043478261,None,115,21
35,2019-06-15,,タチウオ,1,0.008695652173913044,50  cm,115,21
36,2019-06-15,,ヒイラギ,2,0.017391304347826087,12  cm,115,21
37,2019-06-15,,フグ,27,0.23478260869565218,10～30 cm,115,21
38,2019-06-15,,ベラ,1,0.008695652173913044,18  cm,115,21
39,2019-06-15,,メゴチ,1,0.008695652173913044,10  cm,115,21
40,2019-06-15,,メジナ,18,0.1565217391304348,24～32 cm,115,21
41,2019-06-15,,メバル,1,0.008695652173913044,20  cm,115,21
42,2019-06-15,,シマダイ,1,0.008695652173913044,22  cm,115,21
43,2019-06-14,,アジ,53,0.11597374179431072,20～28 cm,457,21
44,2019-06-14,,アナゴ,10,0.02188183807439825,30～55 cm,457,21
45,2019-06-14,,イシモチ,7,0.015317286652078774,25～27 cm,457,21
46,2019-06-14,,ウミタナゴ,14,0.030634573304157548,15～20 cm,457,21
47,2019-06-14,,カサゴ,75,0.16411378555798686,15～23 cm,457,21
48,2019-06-14,,カレイ,3,0.006564551422319475,26～33 cm,457,21
49,2019-06-14,,カワハギ,3,0.006564551422319475,17～20 cm,457,21
50,2019-06-14,,クロダイ,3,0.006564551422319475,30～43 cm,457,21
51,2019-06-14,,コショウダイ,7,0.015317286652078774,24～26 cm,457,21
52,2019-06-14,,コノシロ,15,0.03282275711159737,23～25 cm,457,21
53,2019-06-14,,サバ,4,0.0087527352297593,27～38 cm,457,21
54,2019-06-14,,シリヤケイカ,1,0.002188183807439825,None,457,21
55,2019-06-14,,シロギス,99,0.21663019693654267,11～23 cm,457,21
56,2019-06-14,,セイゴ,15,0.03282275711159737,23～33 cm,457,21
57,2019-06-14,,タコ,271,0.5929978118161926,None,457,21
58,2019-06-14,,タチウオ,1,0.002188183807439825,60  cm,457,21
59,2019-06-14,,ハゼ,17,0.037199124726477024,7～10 cm,457,21
60,2019-06-14,,フグ,22,0.04814004376367615,15～30 cm,457,21
61,2019-06-14,,ベラ,2,0.00437636761487965,15～18 cm,457,21
62,2019-06-14,,マゴチ,1,0.002188183807439825,30  cm,457,21
63,2019-06-14,,メゴチ,16,0.0350109409190372,8～11 cm,457,21
64,2019-06-14,,メジナ,7,0.015317286652078774,18～27 cm,457,21
65,2019-06-14,,メバル,7,0.015317286652078774,15～20 cm,457,21
66,2019-06-14,,マダイ,1,0.002188183807439825,21  cm,457,21
67,2019-06-13,,アジ,110,0.3013698630136986,20～26 cm,365,21
68,2019-06-13,,アナゴ,8,0.021917808219178082,24～30 cm,365,21
69,2019-06-13,,イシモチ,11,0.030136986301369864,20～34 cm,365,21
70,2019-06-13,,イワシ,4,0.010958904109589041,9～12 cm,365,21
71,2019-06-13,,ウミタナゴ,15,0.0410958904109589,14～18 cm,365,21
72,2019-06-13,,ウマヅラハギ,1,0.0027397260273972603,20  cm,365,21
73,2019-06-13,,カサゴ,56,0.15342465753424658,15～20 cm,365,21
74,2019-06-13,,カレイ,3,0.00821917808219178,25～30 cm,365,21
75,2019-06-13,,カワハギ,3,0.00821917808219178,20～21 cm,365,21
76,2019-06-13,,ギンポ,2,0.005479452054794521,15～20 cm,365,21
77,2019-06-13,,クロダイ,8,0.021917808219178082,40～55 cm,365,21
78,2019-06-13,,コショウダイ,33,0.09041095890410959,20～26 cm,365,21
79,2019-06-13,,コノシロ,32,0.08767123287671233,26～30 cm,365,21
80,2019-06-13,,サバ,6,0.01643835616438356,30～40 cm,365,21
81,2019-06-13,,シマダイ,9,0.024657534246575342,23～38 cm,365,21
82,2019-06-13,,シリヤケイカ,2,0.005479452054794521,None,365,21
83,2019-06-13,,シロギス,55,0.1506849315068493,13～20 cm,365,21
84,2019-06-13,,セイゴ,24,0.06575342465753424,28～35 cm,365,21
85,2019-06-13,,タコ,151,0.4136986301369863,None,365,21
86,2019-06-13,,ハゼ,21,0.057534246575342465,8～10 cm,365,21
87,2019-06-13,,フグ,23,0.06301369863013699,15～20 cm,365,21
88,2019-06-13,,タチウオ,1,0.0027397260273972603,50  cm,365,21
89,2019-06-13,,ヒイラギ,1,0.0027397260273972603,14  cm,365,21
